name,when,town,country,styles,teachers,description,url,date-from,date-to,lat,lng,latlng
Brescia Balboa Festival,17th Feb 2023 - 19th Feb 2023,Brescia,Italy,Balboa,Heather Ballew (US) & Javier Johnson (US) Lucia Galiana (ES) & Javi Zurdo (ES) Sanna Leinonen (FI) & Adam LaMontagne (US),"An amazing weekend with the best international teachers and an exclusive all-inclusive formula, thanks to which you won't have to think about anything, other than having fun. The participation fee includes all of the following: free participation to all the lessons of the program 3 evenings with live music and DJ sets free bar including soft drinks, beer, long drinks, aperol/campari spritz and various cafeterias reinforced aperitif (dinner) with final risotto for all three evenings Sunday buffet brunch",https://www.swingdancebrescia.com,2023-02-17,2023-02-19,45.77958045,10.4258729694612,"45.77958045,10.4258729694612"
Shag & Bal WorkSZOPs,17th Feb 2023 - 19th Feb 2023,Kraków,Poland,"Balboa, Shag","Balboa- Yulia & Sasha, Shag- Artūras Kisielius and Egle","Here's a workshop weekend with Collegiate Shag and Balboa! Fans of shuffling, kicking, quicks and slows (in any configuration) are invited to two days filled with workshops and two dance parties (one with live music). Our guests will be two talented, experienced and inspiring couples - true specialists in their fields. Everything will take place in a beautiful venue in the heart of Cracow. Hope to see you here! ",https://jazzlikethat.pl/pl/shagball-workszops/,2023-02-17,2023-02-19,50.0619474,19.9368564,"50.0619474,19.9368564"
JATS Swing Festival 10th Edition,17th Feb 2023 - 19th Feb 2023,Brighton,United Kingdom,"Jazz, Lindy Hop","Sonia Ortega & Hector Artal (CA) Hanna ""HotCha"" Nidiaye (FRA) & Stephen Atemie (UK) Aurelien Darbellay (CH) & Maria Ferrer (ESP) Claudia (CA)","International Swing Dance teachers and the best live Jazz, Three evenings of live music, top DJs, competitions & performances. Two days of Lindy Hop and Solo Jazz dance classes with some of the best talent around! Join us to celebrate the gift of Swing music and dance with us in one of England's most diverse and friendly cities!",http://www.jumpinattheseaside.com,2023-02-17,2023-02-19,50.83891575,-0.12693054250074665,"50.83891575,-0.12693054250074665"
Hot Rhythm Holiday,17th Feb 2023 - 19th Feb 2023,Austin,United States,"Balboa, Lindy Hop, Shag","Laura Keat, Jeremy Otth, Kelly Arsenault, Nick Williams, Jennifer Lee, Matt Mitchell, Shannon Butler, Jeron Tuell, Amanda Pincock, Zach Lockett-Streiff, Tabitha and Joe Robinson, Scott Angelius, Ryan Martin","Four tracks of classes in Balboa and Collegiate Shag, Lindy Hop and other elective classes, incredible live music, evening and late night social dancing, contests, and Texas hospitality!",https://www.hotrhythmholiday.com,2023-02-17,2023-02-19,30.2711286,-97.7436995,"30.2711286,-97.7436995"
Winter Jump,23rd Feb 2023 - 26th Feb 2023,Oslo,Norway,Lindy Hop,Frida & Skye / Elze & Peter / Sonia & Hector / Alice & Felipe / Gustav & Laia ++,"A hot line up of international teachers, snowy streets and more than 400 happy dancers. Come join us in Oslo for the greatest adventure this winter!",http://www.winterjump.com,2023-02-23,2023-02-26,59.9133301,10.7389701,"59.9133301,10.7389701"
Leapin’ Lindy,23rd Feb 2023 - 26th Feb 2023,Bern,Switzerland,"Jazz, Lindy Hop, Shag","Ari & Simon (Lindy Hop), Helena (Solo), MarÃ­a & AurÃ©lien (Lindy Hop), Maria & ClÃ udia (Lindy Hop), Sandy & MartÃ­ (Collegiate Shag), Tyedric & Viktor (Lindy Hop)","The biggest swing dance festival in Switzerland: Parties from Thursday to Sunday, Workshops (Lindy Hop, Solo, Collegiate Shag) on Saturday and Sunday, Tasters on Friday and Saturday",https://leapinlindy.ch/,2023-02-23,2023-02-26,46.9482713,7.4514512,"46.9482713,7.4514512"
Shall we Play - The Mystery edition,24th Feb 2023 - 26th Feb 2023,Grenoble,France,"Jazz, Lindy Hop",For Lindy Hop: Nils & Bianca Tadas & Pamela Edmilson & Marta Marion & Sylvain For Solo : Leticia Martin Felix Berghall Marie N'Diaye,"The event will be a crossover between Lindy Hop, Jazz Root, Hiphop and African Dance.",https://www.grenobleswing.com/page/939515-shall-we-play,2023-02-24,2023-02-26,45.1875602,5.7357819,"45.1875602,5.7357819"
Go Hop ’n Jazz with Roser & Marcos,24th Feb 2023 - 26th Feb 2023,Nuremberg,Germany,"Jazz, Lindy Hop","Roser Ros, Marcos Leon","GO for a Lindy HOP 'n solo JAZZ weekend in Nuremberg's cosy swing scene: Two days of workshops, two/three skill levels, two dance nights and a live band!",https://www.thatswing.de/hopnjazz-workshop-roser-marcos/,2023-02-24,2023-02-26,49.453872,11.077298,"49.453872,11.077298"
Diversion Weekend,24th Feb 2023 - 26th Feb 2023,Denver,United States,"Blues, Lindy Hop","Connie Love, Mike Legenthal, Dan Legenthal, Lindy TBA","Weekend event in Denver, Colorado USA with classes in blues, soul, and lindy hop. Live music with Taryn Newborne & the Real Deal. DJd late night soul parties.",https://www.cmdance.org/cmevents/diversion2023,2023-02-24,2023-02-26,39.7392364,-104.984862,"39.7392364,-104.984862"
All That Blues Festival,24th Feb 2023 - 26th Feb 2023,Saarbrucken,Germany,"Blues, Jazz",Team Lindy Hop Saarbrucken Karin Gadziala Nik Taffner Gina Monzon Ben Taffner Jovanna Taffner Kevin Lamza Monica Behys Nicola Veit Jonathan Marx Sarah Klein Simon Kieke Martina Natella Roumany Israil,"Come and join this intense weekend full of Slow Drag, Livemusic and Cabaret! And of course a lot of classes! Everything will be in one location, so you can hang around all weekend long in our lounge. - connect, release, create magic -",https://allthatbluesfestival.weebly.com/,2023-02-24,2023-02-26,49.234362,6.996379,"49.234362,6.996379"
Dayton Swing Smackdown,24th Feb 2023 - 26th Feb 2023,"Dayton, OH",United States,"Jazz, Lindy Hop","Natalia Eristavi & Christian Frommelt, Kerry Kapaku & Shannon Varner, Dave Barry & Mimi Liu","9 hours of dancing, 13 hours of instruction, Solo Jazz Competition, Mix n Match Competition, and The Battle of the Swing Cities Team Routine Competition.",https://daytonswingsmackdown.com/,2023-02-24,2023-02-26,39.7589478,-84.1916069,"39.7589478,-84.1916069"
Balboa em Lisboa with Solen&Laurent,24th Feb 2023 - 26th Feb 2023,Lisboa,Portugal,Balboa,Solen&Laurent,Balboa em Lisboa with Solen&Laurent A Balboa and SlowBal dancing weekend in Lisbon Classes | Parties | Live music,https://www.bluesswinglisboa.com/balboaemlisboawithsolenlaurent,2023-02-24,2023-02-26,38.7077507,-9.1365919,"38.7077507,-9.1365919"
Oxford Swing Festival,24th Feb 2023 - 26th Feb 2023,Oxford,United Kingdom,"Blues, Jazz, Lindy Hop, Shag",,"Oxford Swing Festival is Oxford Lindy Hoppers biggest event of the year and the perfect complement to our popular summer Oxford Lindy Exchange OSF is a weekend spectacular devoted to bringing some of the best Lindy Hop and Solo Jazz teachers to Oxford for a weekend of learning and dancing. OSF 2020 was our biggest event ever, featuring three nights of social dancing, five Lindy Hop tracks and two Solo Jazz tracks, tasters, live music, big band, a spectacular venue, late night Lindy, even later night Blues, friends, hugs, and smiles!
",http://www.oxfordswingfestival.com,2023-02-24,2023-02-26,51.7520131,-1.2578499,"51.7520131,-1.2578499"
Lindy Hop Workshop with Frida & Fredrik from The Hot Shots,25th Feb 2023 - 26th Feb 2023,Aarhus,Denmark,Lindy Hop,Fredrik Dahlberg and Frida Häggström Gerdt,Frida & Fredrik are coming all the way from Stockholm to inspire you with their authentic way of moving to the swing rhythms. Both of them are a part of The Hot Shots group consisting of Swedish dancers spreading knowledge and the tradition of African-American swing dancing through stage performances. You want to use this chance to meet them in Aarhus-Denmark!,https://aarhuslindyhoppers.dk/lindy-hop-workshop-with-frida-and-fredrik?fbclid=IwAR0DfcqsK1vilXV2XQBa2Pp25L0Mv2Yw0RsW0RTLYxcCb1_,2023-02-25,2023-02-26,56.1496278,10.2134046,"56.1496278,10.2134046"
Blues Workshop with Kenneth Shipp,25th Feb 2023 - 26th Feb 2023,Darmstadt,Germany,Blues,Kenneth Shipp,Small and cozy all Level 8 hours Blues Workshop + Saturday Night Party with DJs.,http://www.sunnysideswing.de,2023-02-25,2023-02-26,49.8851869,8.6736295,"49.8851869,8.6736295"
LISA - Ljubljana International Swing Academy,2nd Mar 2023 - 5th Mar 2023,Ljubljana,Slovenia,Lindy Hop,Jenna Applegart Koelbl - Peter Kertz Felix Berghall - Moe Sakan Maria Phillipova - Daniil Nikulin Nejc Zupan - Mako Ruan Tba - Tanja Fercej Tba - Tba,"What to expect? Quality, good energy, great and late parties and afterparties, amazing live music, atentive and ""dance floor responsive"" DJs, friendly folk and organizers, beautiful location in the center, amazing venue, good food. Ljubljana is one of the most charmin europan capitals. It also offers a great opportunity to dance, learn and mingle From 2-5 March 2023. LISA - (Ljubljana International Swing Academy) is a swing festival, that hosts renown international teachers, live bands (Reverent Juke, Pick Pocket Swingers, The Jackposts), competitions (Strictly, M&M), history talks in a warm, friendly atmosphere. Let us not forget amazing dancing venue (dance halls of Grand Hotel Union). Ljubljana as a city will spoil you with top cuisine, excellent slovenian wines, craft beers and give you an chance to discover nice little streets in the old center. Something is clear. If you come, you will not be sorry ",http://www.vintage-lisa.com,2023-03-02,2023-03-05,46.0500268,14.5069289,"46.0500268,14.5069289"
Groove Corner Festival,3rd Mar 2023 - 5th Mar 2023,Strasbourg,France,"Boogie Woogie, Jazz, Lindy Hop",Jean-Baptiste Mino Maud Wernette Ludovic Chanson Stacy Aurel Pedro Viera Masha Konek Fred Seletti Mihanta Rakotoarisoa,"Workshops, never ending parties, live music , talks and conferences ! But What is groove ? Let's try to find an answer all together !",http://www.groovecornerfestival.fr,2023-03-03,2023-03-05,48.584614,7.7507127,"48.584614,7.7507127"
Backdoor to Blues X,3rd Mar 2023 - 5th Mar 2023,Paris,France,"Blues, Lindy Hop",Fabien Vrillon & Lisa Clarke Cedric Clerc & Caroline Faivre Rija Ridz & Elise Klein Elise Klein & Hadrien Haden,"Lindy & Blues workshop with several levels Blues partner and Lindy hop classes, tasters, two live bands parties.",https://leschatonsswingueurs.eu/index.php/backdoor-to-blues-2023/,2023-03-03,2023-03-05,48.8588897,2.3200410217200766,"48.8588897,2.3200410217200766"
Dark Blue Swing Exchange,3rd Mar 2023 - 5th Mar 2023,Brno,Czech Republic,"Balboa, Blues, Lindy Hop",,"Our beloved Dark Blue Swing Exchange is coming back after two long years, and in full glory. We will get back to what you always loved the most- a weekend full of good long parties and excellent life music and a typical local warmth and hospitality.",https://www.swingwings.cz/en/darkblueswing/,2023-03-03,2023-03-05,49.1922443,16.6113382,"49.1922443,16.6113382"
Groove Corner Festtval,3rd Mar 2023 - 5th Mar 2023,Strasbourg,France,"Boogie Woogie, Charleston, Jazz, Lindy Hop","Jean-Baptiste Mino, Maud Wernette, Ludovic Chanton, Stacy Aurel, Pedro Viera, Masha Konek; Fred Selleti, Mihanta Rakotoarisoa","Let's groove together! A new dance festival experience! Conferences, masterclasses by musicians, and international teachers, only social dancing, and never-ending parties! Live music every night! Bands and late-night jam sessions! Would you like to share this music with me? Let the groove decide how we move!",http://www.groovecornerfestival.fr,2023-03-03,2023-03-05,48.584614,7.7507127,"48.584614,7.7507127"
Slow Balboa Weekend with Anni & Gašper,3rd Mar 2023 - 5th Mar 2023,Augsburg,Germany,Balboa,Anni Skoglund & Gašper Hrovat,Slow Balboa Weekend in Augsburg! Two Parties and Balboa Special on Friday!,www.augsburgbalboa.com,2023-03-03,2023-03-05,48.3668041,10.8986971,"48.3668041,10.8986971"
Pingoletus Swing Festival,3rd Mar 2023 - 5th Mar 2023,Zaragoza,Spain,"Boogie Woogie, Jazz, Lindy Hop",Nicolas Deniau & Hyunjung Choi Jeremy Chanton & Melanie Deniau,"7th edition of the Pingoletus Festival. Lindy hop classes (4 levels), aerials, boogie woogie, parties with live music (Hot Swing Sextet) in a spectacular venue, exhibitions and more. All served with the love and hospitality of the lindyjotter community in our beautiful windy city. The passion, affection and strength of swing await you in Zaragoza.",https://swingon.es/pingoletus-swing-festival-2023-en/,2023-03-03,2023-03-05,41.6521342,-0.8809428,"41.6521342,-0.8809428"
Blues Remix Festival,4th Mar 2023 - 6th Mar 2023,Brussels,Belgium,Blues,,"Blues remix – everything you need to know about the festival!
Blues dance festival filled with classes, talks, jams, live music and a lot of dancing. From 4-5 March, we meet in Brussels to remix blues dance in a creative & inclusive way.
What do we remix?
All the classes will be taught in a never-seen-before teacher duo that will be mixing their techniques and approach to bring you something fresh and new!
We’re inspired by seeing dance roles (lead, follow) dissociate from gender. During this festival we want to create a space where we can grow as dancers, both in our main and new roles. We invite you to explore the blues dance and its history together in a creative, comfortable, inclusive and approachable way.
This remixing theme will be the heart of the tasters, panel discussions, jams and bands. New people, different styles of blues, inspiring combinations, different forms of art, … let’s mix it all in!",https://www.facebook.com/events/703544128009148,2023-03-04,2023-03-06,50.8465573,4.351697,"50.8465573,4.351697"
Retro Weekend Festival,9th Mar 2023 - 12th Mar 2023,Warsaw,Poland,"Charleston, Jazz, Lindy Hop","Lindy Hop Teachers:
⭐ Alice & Alberto
⭐ Frida & Daniel
⭐ Sonia & Hector
⭐ Elze & Peter
Authentic Jazz Teachers:
⭐ Sep Vermeersch
⭐ Alice Mei
⭐ Hector Artal
⭐ Sonia Ortega","Are you ready for a weekend in Warsaw filled with inspirational classes and legendary Retro parties? This year we're coming back with EVEN MORE live music and the same party spirit as always - prepare yourself for the truly legendary experience Take your calendars and save the date: 9-12.03.2023 - See you in Warsaw! Stay tuned - we will publish more info soon! 
Bands: 
- Reverent Juke
- Shirt Tail Stompers
- The Petersons
- Swingin' Promised Band",https://retroweekend.pl/en/home-page/,2023-03-09,2023-03-12,52.2319581,21.0067249,"52.2319581,21.0067249"
BluesAlive,10th Mar 2023 - 12th Mar 2023,Seoul,"Korea, Republic Of",Blues,Dexter Santos Dan Repsh Kara Fabina Albert Roca Vila Melanie Mas,"Making your heart beating and thrilled - BluesAlive 2023 @ Seoul, Korea! With greater liveliness, we will remind you that your blues is alive! 3 nights with live music, 2 days of workshops, With 5 best blues dance instructors.",http://www.bluesalive.net,2023-03-10,2023-03-12,37.5666791,126.9782914,"37.5666791,126.9782914"
Tucson Swing Festival,10th Mar 2023 - 12th Mar 2023,"Tucson, Arizona",United States,"Balboa, Blues, Charleston, Jazz, Lindy Hop, Shag",,"Tucson Swing Festival is bigger than ever with Lizzy and the Triggermen, Friday night! Classes Saturday and Sunday include switch dancing, shag, lindy, and a discovery track where you can try out different types of dance like hip hop and tap! Live music every night. Locations include Hotel Congress, a hotel straight out of the 1920s.",http://www.tucsonswingfestival.com,2023-03-10,2023-03-12,32.2228765,-110.9748477,"32.2228765,-110.9748477"
Tiny Balboa,10th Mar 2023 - 12th Mar 2023,"Grenoble, French Alps",France,Balboa,"Blake & Alice, Bobby & Annabelle, Anni and Gasper",Come and share a wonderful Balboa event in the capital of the French Alps with incredible teachers coming from the USA and Sweden. Live orchestras on Saturday night and the Sunday Tea Party.,https://www.grenobleswing.com/page/1692255-tiny-balboa ,2023-03-10,2023-03-12,45.1875602,5.7357819,"45.1875602,5.7357819"
Duke’s Blues,10th Mar 2023 - 12th Mar 2023,Luxembourg,Luxembourg,Blues,Alba Mengual & Gas Fernadez (Madrid) for couple blues Edmilson Bothelo (Porto) for solo blues,"Join us for our wonderful, cosy Duke's Blues Festival from 10-12 March 2023 in the heart of Luxembourg! Duke's Blues is dedicated to Blues dancing with amazing live music and parties, inspiring couple and solo workshops, special topic classes to spice up your program and other surprises! At Duke's Blues it is all about social dance and groovy parties, so we've got you covered with the finest blues tunes by Boris Tabasco & the Hot Shots for the opening party on Friday, and The Paradise Stompers for the Saturday night party!",https://www.swingdance.lu/dukes-blues-2023/,2023-03-10,2023-03-12,49.6112768,6.129799,"49.6112768,6.129799"
Lindy Hop Workshop,10th Mar 2023 - 12th Mar 2023,Basel,Switzerland,"Jazz, Lindy Hop","Marta Stawicka & Alexey Kazennov, Felipe Braga and more...",2 Parties with the Hot Sugar Band 3 Levels  More info soon! Stay tuned!,https://www.lindyharbour.ch/workshop-alexey-marta-felipe-2023,2023-03-10,2023-03-12,47.5581077,7.5878261,"47.5581077,7.5878261"
University of Swing,10th Mar 2023 - 12th Mar 2023,Edinburgh,United Kingdom,"Charleston, Jazz, Lindy Hop",Katie Cobalt & Mike Sonder Gina Helfrich & Mike Roberts Grace Sansom,Save the date! The next academic term of University of Swing will be from the 10th - 12th March 2023. Check out our Facebook event for more details.,https://fb.me/e/9mZDdNPoU,2023-03-10,2023-03-12,55.9533456,-3.1883749,"55.9533456,-3.1883749"
Bal Spring Break,10th Mar 2023 - 12th Mar 2023,Bournemouth,United Kingdom,Balboa,Jenn Lee & Andreas Olsson Sanna Leinonen & Adam LaMontagne Moe Sakan & Vincenzo Fesi Yulia Dakina & Sasha Azarov,"4 pairs of top international teachers, 3 parties, 2 level abilities, all in 1 fabulous sea-front hotel in Bournemouth with sweeping views. 3 stream choices with inspirational tuition, then relax and unwind with a glass of your favourite tipple! With everything under one roof (dinner, B&B included in the price), you will have plenty of time to catch up with friends from across the UK, Europe and beyond, and make new friends!",https://spring.balbreak.co.uk,2023-03-10,2023-03-12,50.720097,-1.8799272,"50.720097,-1.8799272"
ON THE BEAT with Helena Kanini Kiiru,10th Mar 2023 - 12th Mar 2023,Valencia,Spain,"Charleston, Jazz",Helena Kanini Kiiru,"Come and join us for a weekend full of Jazz with Helena Kanini in Valencia! Classes and three parties with DJ's and live music, and the city of Valencia, always sunny and warm. Also, in March, we will be in Fallas. It's a perfect plan! We open registrations on December 5 at 5:00 p.m. cet!",http://www.valencialindyhop.com,2023-03-10,2023-03-12,39.4697065,-0.3763353,"39.4697065,-0.3763353"
Cocoa Blues & Fusion Exchange Barcelona,16th Mar 2023 - 19th Mar 2023,Barcelona,Spain,Blues,,"Welcome to the 6th edition (+2 online) of our festival, a cocktail of cocoa, Blues, Fusion and calÃ§ots, a gastronomical catalan experience that you cannot miss, in the beautiful city of Barcelona, where spring comes earlier. Come and visit us!!!",http://www.cocoablux.com,2023-03-16,2023-03-19,41.3828939,2.1774322,"41.3828939,2.1774322"
The Great Southwest Lindyfest,16th Mar 2023 - 19th Mar 2023,"Houston, TX",United States,"Balboa, Charleston, Jazz, Lindy Hop, Shag","Naomi Uyama, Peter Strom, Dee Daniels Locke, Joshua Mclean, Erin Morris, Christian Frommelt, Natalia Eristavi, Anthony Chen, Irina Amzashvili, Jerry Foote, Grace Durant, Scott Angelius, Robin Carlson, Zach Lockett-Streiff, Amanda Pincock","After several years of cancellations: Lindyfest is back! This is an all-weekend event packed with classes, competitions, social dances, and community-focused events! Everything takes place in one lovely hotel with plenty of time to get to know the amazing community we have missed for so many years! All competitions are focused on social dancing and we are excited to offer multiple ways of taking classes. This is truly an event for all dancers and we cannot wait to fill the dance floor again!",http://www.lindyfest.org,2023-03-16,2023-03-19,29.7589382,-95.3676974,"29.7589382,-95.3676974"
All That Jazz Weekend,16th Mar 2023 - 19th Mar 2023,Antalya,Turkey,"Charleston, Jazz, Lindy Hop","Simon Bressanelli & Ariadna Beltran, Claudia Fonte & Maria Mallan, Tyedric Hill & Viktor Lillard, Felix Berghall,","Welcome to our first edition of All That Jazz Weekend in sunny Antalya! Lindy hop and solo jazz classes, 4 nights of parties, 2 nights of live music with Reverent Juke and much more.. REGISTRATION IS OPEN!",http://www.allthatjazzweekend.com,2023-03-16,2023-03-19,36.8872942,30.7074549,"36.8872942,30.7074549"
Swing in Spring,17th Mar 2023 - 19th Mar 2023,Calenzano (Firenze),Italy,"Balboa, Boogie Woogie, Jazz, Lindy Hop","William Mauvais & Maeva Mauvais-Truntzer, Sondre Olsen-Bye & Tanya Georgiievska, Filippo Buccomino & Tiziana Sperzagni, Marco Guglielmino & Eleonora Santoro","Lessons, DJ set, show, Strictly, team Battle, live music and, of course, lots of dancing... at Swing In Spring nothing will be missing! We can't wait to immerse ourselves in these 3 days of healthy fun.",https://www.facebook.com/swinginspring2018/,2023-03-17,2023-03-19,43.8652493,11.1673685,"43.8652493,11.1673685"
Swing into Spring,17th Mar 2023 - 19th Mar 2023,Hebden Bridge,United Kingdom,"Balboa, Blues, Charleston, Jazz, Lindy Hop, Shag",,"A weekend of dancing to live music, taster classes and activities in three locations, along the beautiful Calder Valley, in rural Yorkshire. Conveniently located along the rail route between Leeds & Manchester, with optional weekend accommodation.",https://caldervalleyswing.co.uk/swing-into-spring/,2023-03-17,2023-03-19,53.7406425,-2.0092336,"53.7406425,-2.0092336"
Roma Balboa Weekend,17th Mar 2023 - 19th Mar 2023,Rome,Italy,Balboa,Susana Bernal Sanchez & Bobby White Anne-Helene & Bernard Cavasa Andreas Olson & Moe Sakan Natalia Devyatkina & Vincenzo Fesi An awesome and various line up to be inspired by!,"The 5th edition of RBW will let you dance again in the wonderful Brancaccio Palace, we'll have toe-tapping bands, breath-taking competitions, inspiring classes and never-ending parties! We are once again working to arrange the better festival than ever and these are the updated news: 4 levels workshop with 6 hours classes Brancaccio Palace will be your home for 3 days! All Classes and parties will take place under the astonishing ceiling of the Brancaccio Palace! Special track Solo Leader - Follower 3 parties with live music Top quality live music International competitions Registration opens Sunday 6th November!",http://www.romabalboaweekend.com,2023-03-17,2023-03-19,41.8933203,12.4829321,"41.8933203,12.4829321"
